Id_Restaurante,latitud,longitud
1,40.4346398,-3.6683275
2,40.4743506,-3.5787554
3,40.415528,-3.7017525
4,40.4232911,-3.703706
5,40.4941925,-3.687351
6,40.3803835,-3.6558993
7,40.413673,-3.6994414
8,40.4100054,-3.6969032
9,40.4151014,-3.7019298
10,40.4682967,-3.8707093
11,40.4276705,-3.6699464
12,40.4124057,-3.6970554
13,40.4178642,-3.7080699
14,40.4127254,-3.7096299
15,40.4265449,-3.6987863
16,40.4184363,-3.7052309
17,40.42487,-3.7008499
18,40.4095834,-3.6937561
19,40.4246347,-3.6964968
20,40.4094601,-3.6933254
21,40.4194856,-3.7040631
22,40.4158879,-3.7066396
23,40.4682967,-3.8707093
24,40.4157857,-3.7030024
25,40.4682967,-3.8707093
26,40.4734439,-3.8722742
27,40.4302985,-3.7007009
28,40.4220423,-3.7096873
29,40.4337774,-3.6747828
30,40.4251144,-3.7007363
31,40.4198086,-3.7072623
32,40.4243427,-3.6790764
33,40.4204301,-3.712532
34,40.4264203,-3.6681965
35,40.4302985,-3.7007009
36,40.5052468,-3.675897
37,40.4162893,-3.7091977
38,40.4485593,-3.6953468
39,40.4183439,-3.6743147
40,40.4246365,-3.6963848
41,40.4117567,-3.6954293
42,40.4124721,-3.6954412
43,40.4207841,-3.7021303
44,40.4145645,-3.7067471
45,40.4012101,-3.7176244
46,40.8054973,-3.7697049
47,40.4234748,-3.6993507
48,40.4792971,-3.6898623
49,40.4131256,-3.710878
50,40.5952964,-4.1423878
51,40.4265674,-3.7163351
52,40.3985887,-3.7595707
53,40.3293733,-3.8554613
54,40.4210995,-3.7041013
55,40.4214591,-3.6835822
56,40.42,-3.705
57,40.4157405,-3.7017617
58,40.4110723,-3.7066866
59,40.4218831,-3.7009642
60,40.4120408,-3.710051
61,40.4132903,-3.6965712
62,40.445438,-3.6956183
63,40.463683,-3.6881311
64,40.412702,-3.6992329
65,40.4460488,-3.6995504
66,40.4157137,-3.6991222
67,40.4157405,-3.7017617
68,40.4202508,-3.6754873
69,40.3898034,-3.6608316
70,40.4577954,-3.6859491
71,40.4268255,-3.7014108
72,40.495,-3.66
73,40.4164803,-3.7077567
74,40.4145549,-3.6997005
